accuracy,adjusted_rand_score,der,der_fa,der_miss,der_error,der_total_speech,transition_rate,avg_segment_duration,num_segments,temporal_stability,per_speaker_accuracy_mean,per_speaker_accuracy_std,num_speakers_detected,num_speakers_true,filename,phase,has_temporal_modeling,oracle_speakers,duration
0.7727272727272727,0.528377471254412,0.22727272727272727,0.0,0.0,15.0,66.0,0.22077922077922077,3.3333333333333335,18,0.8191489361702128,0.7548076923076923,0.30629943146531685,4,4,bwzyf.wav,phase2,True,True,77.0
0.8076923076923077,0.6708909809450668,0.19230769230769232,0.0,0.0,30.0,156.0,0.10191082802547771,8.294117647058824,17,0.9075144508670521,0.6906641604010024,0.36049615135461266,5,5,kszpd.wav,phase2,True,True,157.0
0.9427083333333334,0.7860381051735018,0.057291666666666664,0.0,0.0,22.0,384.0,0.03896103896103896,23.125,16,0.9625000000000001,0.9529448621553884,0.03867869139569117,3,3,gofnj.wav,phase2,True,True,385.0
0.872093023255814,0.784183667110779,0.12790697674418605,0.0,0.0,66.0,516.0,0.120817843866171,7.166666666666667,66,0.8922056384742952,0.779642151251076,0.29649435178580835,9,9,fkvvo.wav,phase2,True,True,538.0
1.0,1.0,0.0,0.0,0.0,0.0,1016.0,0.007774538386783284,113.44444444444444,9,0.9922854387656702,1.0,0.0,1,1,qouur.wav,phase2,True,True,1029.0
1.0,1.0,0.0,0.0,0.0,0.0,142.0,0.19047619047619047,4.135135135135135,37,0.84,1.0,0.0,1,1,cyyxp.wav,phase2,True,True,189.0
0.7796610169491526,0.03449756841023099,0.22033898305084745,0.0,0.0,91.0,413.0,0.14105263157894737,6.0,68,0.8763837638376384,0.5159574468085106,0.48404255319148937,2,2,oxxwk.wav,phase2,True,True,475.0
1.0,1.0,0.0,0.0,0.0,0.0,706.0,0.14925373134328357,5.652892561983471,121,0.8701298701298701,1.0,0.0,1,1,kkghn.wav,phase2,True,True,804.0
0.9879518072289156,0.9518051771705425,0.012048192771084338,0.0,0.0,1.0,83.0,0.024096385542168676,27.0,3,0.9764705882352941,0.9888888888888889,0.011111111111111127,2,2,hiyis.wav,phase2,True,True,83.0
0.960127591706539,0.8462865970101974,0.03987240829346093,0.0,0.0,25.0,627.0,0.025477707006369428,36.0,17,0.9751552795031055,0.9577625814723796,0.010823805962175415,2,2,yuzyu.wav,phase2,True,True,628.0
1.0,1.0,0.0,0.0,0.0,0.0,122.0,0.15753424657534246,5.125,24,0.8639053254437871,1.0,0.0,1,1,jsdmu.wav,phase2,True,True,146.0
0.5709876543209876,0.31741669356012825,0.42901234567901236,0.0,0.0,139.0,324.0,0.22608695652173913,3.3797468354430378,79,0.8156028368794326,0.6046495994179103,0.2344845068198299,9,9,pnook.wav,phase2,True,True,345.0
1.0,1.0,0.0,0.0,0.0,0.0,16.0,0.02962962962962963,26.2,5,0.9712230215827338,1.0,0.0,1,1,pqmho.wav,phase2,True,True,135.0
0.8888888888888888,0.6490947626581081,0.1111111111111111,0.0,0.0,16.0,144.0,0.13157894736842105,6.285714285714286,21,0.8837209302325582,0.8388133030990174,0.11593336278304646,3,3,ehpau.wav,phase2,True,True,152.0
0.9040404040404041,0.6512390604158395,0.09595959595959595,0.0,0.0,19.0,198.0,0.12745098039215685,6.592592592592593,27,0.8869565217391304,0.9015360983102918,0.04132104454685098,2,2,dscgs.wav,phase2,True,True,204.0
0.9528301886792453,0.8809510842713943,0.04716981132075472,0.0,0.0,5.0,106.0,0.04716981132075472,16.833333333333332,6,0.9549549549549549,0.9526858304297329,0.030144501940152016,4,4,iqtde.wav,phase2,True,True,106.0
0.8419282511210763,0.6903922277908029,0.15807174887892378,0.0,0.0,141.0,892.0,0.15473684210526314,5.425675675675675,148,0.8659981768459436,0.8252353840129579,0.11178555140390149,10,10,hgdez.wav,phase2,True,True,950.0
1.0,1.0,0.0,0.0,0.0,0.0,37.0,0.0,36.0,1,1.0,1.0,0.0,1,1,qrzjk.wav,phase2,True,True,36.0
0.577922077922078,0.3731725015309851,0.42207792207792205,0.0,0.0,195.0,462.0,0.1851106639839034,4.354838709677419,93,0.8438030560271648,0.45781662269129286,0.33699501252501207,5,5,bauzd.wav,phase2,True,True,497.0
0.9074074074074074,0.8356721112443569,0.09259259259259259,0.0,0.0,55.0,594.0,0.10339256865912763,8.538461538461538,65,0.9062957540263542,0.8490054406742609,0.2743151830036581,11,11,mdbod.wav,phase2,True,True,619.0
0.8241758241758241,0.5112312811980033,0.17582417582417584,0.0,0.0,16.0,91.0,0.15151515151515152,5.25,16,0.8684210526315789,0.8571428571428571,0.11664236870396084,3,3,mevkw.wav,phase2,True,True,99.0
0.8525179856115108,0.4952646490437668,0.1474820143884892,0.0,0.0,41.0,278.0,0.15488215488215487,5.340425531914893,47,0.8658892128279884,0.8535923141186299,0.011487050960735212,2,2,crixb.wav,phase2,True,True,297.0
0.944206008583691,0.8224618276697755,0.055793991416309016,0.0,0.0,13.0,233.0,0.038461538461538464,22.5,10,0.9629629629629629,0.9414431384368093,0.03137460194612609,3,3,asxwr.wav,phase2,True,True,234.0
0.6931818181818182,0.4281377889035389,0.3068181818181818,0.0,0.0,108.0,352.0,0.1196808510638298,7.195652173913044,46,0.8931116389548693,0.6042682026288584,0.42789436853449464,3,3,gqdxy.wav,phase2,True,True,376.0
0.6866952789699571,0.5048821601125769,0.3133047210300429,0.0,0.0,73.0,233.0,0.11063829787234042,7.7407407407407405,27,0.9003831417624522,0.7405601630186959,0.19136593460908785,6,6,wnfoi.wav,phase2,True,True,235.0
